,iata_code,name,coordinates,iso_region
25816,BFK,Buckley Air Force Base,"-104.751998901, 39.701698303200004",US-CO
25817,BKL,Burke Lakefront Airport,"-81.68329620361328, 41.51750183105469",US-OH
25820,BKT,Allen C Perkinson Blackstone Army Air Field,"-77.9574966431, 37.0741996765",US-VA
25822,BKW,Raleigh County Memorial Airport,"-81.1241989136, 37.787300109899995",US-WV
25823,BKX,Brookings Regional Airport,"-96.81690216064453, 44.3047981262207",US-SD
25824,BLF,Mercer County Airport,"-81.20770263671875, 37.295799255371094",US-WV
25825,BLH,Blythe Airport,"-114.717002869, 33.6192016602",US-CA
25826,BLI,Bellingham International Airport,"-122.53800201416016, 48.79280090332031",US-WA
25827,BLM,Monmouth Executive Airport,"-74.12490082, 40.18690109",US-NJ
25828,BLU,Blue Canyon Nyack Airport,"-120.709999084, 39.2750015259",US-CA
25829,BLV,Scott AFB/Midamerica Airport,"-89.835197, 38.5452",US-IL
25831,BMC,Brigham City Airport,"-112.06199646, 41.5523986816",US-UT
25832,BMG,Monroe County Airport,"-86.61669921875, 39.145999908447266",US-IN
25833,BMI,Central Illinois Regional Airport at Bloomington-Normal,"-88.91590118, 40.47710037",US-IL
25834,BML,Berlin Regional Airport,"-71.17590332, 44.57540131",US-NH
25836,BMT,Beaumont Municipal Airport,"-94.21579742430002, 30.0706996918",US-TX
25837,BNA,Nashville International Airport,"-86.6781997680664, 36.1245002746582",US-TN
25838,BNG,Banning Municipal Airport,"-116.850997925, 33.9230995178",US-CA
25839,BNL,Barnwell Regional Airport,"-81.38829803, 33.25780106",US-SC
25840,BNO,Burns Municipal Airport,"-118.955001831, 43.5918998718",US-OR
25841,BNW,Boone Municipal Airport,"-93.8476028442, 42.0495986938",US-IA
25842,BOI,Boise Air Terminal/Gowen field,"-116.2229996, 43.56439972",US-ID
25843,BOS,General Edward Lawrence Logan International Airport,"-71.00520325, 42.36429977",US-MA
25844,BOW,Bartow Municipal Airport,"-81.78340148930002, 27.943399429299998",US-FL
25845,HCA,Big Spring Mc Mahon-Wrinkle Airport,"-101.522003, 32.212601",US-TX
25846,BPI,Miley Memorial Field,"-110.1110001, 42.58509827",US-WY
25847,WMH,Ozark Regional Airport,"-92.47049713130001, 36.3689002991",US-AR
25849,BPT,Southeast Texas Regional Airport,"-94.02069854736328, 29.9507999420166",US-TX
25850,BQK,Brunswick Golden Isles Airport,"-81.46649932861328, 31.258800506591797",US-GA
25853,BRD,Brainerd Lakes Regional Airport,"-94.13809967, 46.39830017",US-MN
25854,BRL,Southeast Iowa Regional Airport,"-91.12550354003906, 40.783199310302734",US-IA
25855,BRO,Brownsville South Padre Island International Airport,"-97.4259033203125, 25.90679931640625",US-TX
25856,BRY,Samuels Field,"-85.4996032715, 37.8143005371",US-KY
25859,BTF,Skypark Airport,"-111.927001953, 40.8694000244",US-UT
25860,BTL,W K Kellogg Airport,"-85.2515029907, 42.307300567599995",US-MI
25861,BTM,Bert Mooney Airport,"-112.49700164794922, 45.95479965209961",US-MT
25862,TTO,Britton Municipal Airport,"-97.743103027344, 45.815200805664",US-SD
25863,BTP,Butler County-K W Scholter Field,"-79.9496994, 40.77690125",US-PA
25864,BTR,"Baton Rouge Metropolitan, Ryan Field","-91.14959717, 30.53319931",US-LA
25865,BTV,Burlington International Airport,"-73.15329742429999, 44.471900939899996",US-VT
25866,BTY,Beatty Airport,"-116.787002563, 36.8610992432",US-NV
25867,BUB,Cram Field,"-99.14969635010002, 41.776699066199996",US-NE
25868,BUF,Buffalo Niagara International Airport,"-78.73220062, 42.94049835",US-NY
25869,BUM,Butler Memorial Airport,"-94.3401031494, 38.2897987366",US-MO
25870,BUR,Bob Hope Airport,"-118.35900115966797, 34.20069885253906",US-CA
25873,BFP,Beaver County Airport,"-80.39140319820001, 40.7724990845",US-PA
25875,BVO,Bartlesville Municipal Airport,"-96.01119995, 36.76250076",US-OK
25876,MVW,Skagit Regional Airport,"-122.42099762, 48.4709014893",US-WA
25877,BVX,Batesville Regional Airport,"-91.64730072, 35.7262001",US-AR
25878,BVY,Beverly Municipal Airport,"-70.91649627689999, 42.584201812699995",US-MA
25879,BWC,Brawley Municipal Airport,"-115.5169983, 32.99290085",US-CA
25880,BWD,Brownwood Regional Airport,"-98.9564971924, 31.793600082399998",US-TX
25881,BWG,Bowling Green Warren County Regional Airport,"-86.41970062259999, 36.964500427199994",US-KY
25882,BWI,Baltimore/Washington International Thurgood Marshall Airport,"-76.66829681, 39.17539978",US-MD
25883,WAH,Harry Stern Airport,"-96.6073989868, 46.2440986633",US-ND
25884,BWM,Bowman Regional Airport,"-103.30075, 46.1655193",US-ND
25885,BXA,George R Carr Memorial Air Field,"-89.8649978638, 30.813699722299997",US-LA
25887,BXK,Buckeye Municipal Airport,"-112.685997, 33.42039871",US-AZ
25888,BYG,Johnson County Airport,"-106.722000122, 44.381099700899995",US-WY
25889,BYH,Arkansas International Airport,"-89.94400024410001, 35.9642982483",US-AR
25890,BYI,Burley Municipal Airport,"-113.772003174, 42.542598724399994",US-ID
25891,BYS,Bicycle Lake Army Air Field,"-116.629997253, 35.2804985046",US-CA
25892,BBC,Bay City Municipal Airport,"-95.8635025024, 28.9733009338",US-TX
25893,BZN,Gallatin Field,"-111.1529999, 45.77750015",US-MT
25894,XES,Grand Geneva Resort Airport,"-88.389603, 42.614899",US-WI
25910,PLY,Plymouth Municipal Airport,"-86.300498962402, 41.365100860596",US-IN
25916,CLG,New Coalinga Municipal Airport,"-120.29399871826172, 36.16310119628906",US-CA
25920,CAD,Wexford County Airport,"-85.4188995361, 44.2752990723",US-MI
25921,CAE,Columbia Metropolitan Airport,"-81.11949920654297, 33.93880081176758",US-SC
25922,CIG,Craig Moffat Airport,"-107.522003174, 40.4952011108",US-CO
25923,CAK,Akron Canton Regional Airport,"-81.44219970703125, 40.916099548339844",US-OH
25924,CAO,Clayton Municipal Airpark,"-103.166999817, 36.4462013245",US-NM
25925,CAR,Caribou Municipal Airport,"-68.0178985596, 46.871498107899995",US-ME
25927,CBE,Greater Cumberland Regional Airport,"-78.7609024048, 39.615398407",US-MD
25928,CBF,Council Bluffs Municipal Airport,"-95.760597229, 41.2592010498",US-IA
25930,CBK,Shalz Field,"-101.0469971, 39.42750168",US-KS
25931,CBM,Columbus Air Force Base,"-88.44380187990001, 33.6437988281",US-MS
25932,KCC,Coffman Cove Seaplane Base,"-132.841995239, 56.003200531",US-AK
25934,CCB,Cable Airport,"-117.68800354, 34.1115989685",US-CA
25936,CCR,Buchanan Field,"-122.056999207, 37.9897003174",US-CA
25937,CCY,Northeast Iowa Regional Airport,"-92.6108016968, 43.0726013184",US-IA
25938,LLX,Caledonia County Airport,"-72.0179977417, 44.5690994263",US-VT
25939,CDC,Cedar City Regional Airport,"-113.0989990234375, 37.70100021362305",US-UT
25940,CDH,Harrell Field,"-92.7633972168, 33.622798919699996",US-AR
25942,CDN,Woodward Field,"-80.56490325930001, 34.2835998535",US-SC
25943,CDR,Chadron Municipal Airport,"-103.095001221, 42.837600708",US-NE
25944,CDS,Childress Municipal Airport,"-100.288002014, 34.4337997437",US-TX
25945,CDW,Essex County Airport,"-74.2814025879, 40.875198364300005",US-NJ
25946,CEA,Cessna Aircraft Field,"-97.2506027222, 37.648601532",US-KS
25947,CEC,Jack Mc Namara Field Airport,"-124.2369995, 41.78020096",US-CA
25948,CEF,Westover ARB/Metropolitan Airport,"-72.53479767, 42.19400024",US-MA
25950,CEU,Oconee County Regional Airport,"-82.8864975, 34.6719017",US-SC
25951,CEV,Mettel Field,"-85.129699707, 39.6985015869",US-IN
25952,CEW,Bob Sikes Airport,"-86.522102356, 30.778799057",US-FL
25953,CEY,Kyle Oakley Field,"-88.37280273, 36.66460037",US-KY
25954,CEZ,Cortez Municipal Airport,"-108.627998352, 37.3030014038",US-CO
25955,CFD,Coulter Field,"-96.3313980103, 30.715700149499998",US-TX
25958,TZC,Tuscola Area Airport,"-83.445503234863, 43.458801269531",US-MI
25959,CFT,Greenlee County Airport,"-109.2099991, 32.95280075",US-AZ
25960,CFV,Coffeyville Municipal Airport,"-95.5718994141, 37.09400177",US-KS
25961,KCG,Chignik Fisheries Airport,"-158.589706, 56.317643",US-AK
25963,CGE,Cambridge Dorchester Airport,"-76.03040314, 38.53929901",US-MD
25964,CGF,Cuyahoga County Airport,"-81.4863967896, 41.5651016235",US-OH
25965,CGI,Cape Girardeau Regional Airport,"-89.57080078125, 37.22529983520508",US-MO
25966,CGS,College Park Airport,"-76.9223022461, 38.9805984497",US-MD
25967,CGX,Chicago Meigs Airport,"-87.60790252685547, 41.85879898071289",US-IL
25968,CGZ,Casa Grande Municipal Airport,"-111.766998, 32.954899",US-AZ
25969,CHA,Lovell Field,"-85.20379638671875, 35.035301208496094",US-TN
25972,CHK,Chickasha Municipal Airport,"-97.96769714, 35.09740067",US-OK
25974,CHO,Charlottesville Albemarle Airport,"-78.4529037475586, 38.13859939575195",US-VA
25976,CHS,Charleston Air Force Base-International Airport,"-80.04049683, 32.89860153",US-SC
25979,CIC,Chico Municipal Airport,"-121.8580017, 39.79539871",US-CA
25980,CID,The Eastern Iowa Airport,"-91.71080017089844, 41.884700775146484",US-IA
25982,CIN,Arthur N Neu Airport,"-94.78900146480001, 42.0461997986",US-IA
25983,CIR,Cairo Regional Airport,"-89.2195968628, 37.0644989014",US-IL
25984,CIU,Chippewa County International Airport,"-84.47239685058594, 46.25080108642578",US-MI
25986,CKA,Kegelman AF Aux Field,"-98.1231002808, 36.7439002991",US-OK
25987,CKB,North Central West Virginia Airport,"-80.2281036377, 39.2966003418",US-WV
25988,GRM,Grand Marais Cook County Airport,"-90.38289642330001, 47.8382987976",US-MN
25991,CKM,Fletcher Field,"-90.512298584, 34.2997016907",US-MS
25992,CKN,Crookston Municipal Kirkwood Field,"-96.62159729, 47.8417015076",US-MN
25994,CKV,Clarksville–Montgomery County Regional Airport,"-87.4150009155, 36.6218986511",US-TN
25996,KCL,Chignik Lagoon Airport,"-158.5359955, 56.31119919",US-AK
25997,CLE,Cleveland Hopkins International Airport,"-81.8498001099, 41.4117012024",US-OH
25998,CLI,Clintonville Municipal Airport,"-88.731300354, 44.613800048799995",US-WI
25999,CLK,Clinton Regional Airport,"-98.93270111, 35.53829956",US-OK
26000,CLL,Easterwood Field,"-96.36380005, 30.58860016",US-TX
26001,CLM,William R Fairchild International Airport,"-123.5, 48.120201110839844",US-WA
26002,CLR,Cliff Hatfield Memorial Airport,"-115.521003723, 33.131500244099996",US-CA
26003,CLS,Chehalis Centralia Airport,"-122.983001709, 46.676998138399995",US-WA
26004,CLT,Charlotte Douglas International Airport,"-80.94309997558594, 35.2140007019043",US-NC
26005,CLW,Clearwater Air Park,"-82.7586975098, 27.9766998291",US-FL
26007,CMH,Port Columbus International Airport,"-82.89189910888672, 39.99800109863281",US-OH
26008,CMI,University of Illinois Willard Airport,"-88.27809906, 40.03919983",US-IL
26010,CMX,Houghton County Memorial Airport,"-88.48909759521484, 47.168399810791016",US-MI
26011,CMY,Sparta Fort Mc Coy Airport,"-90.7379, 43.958302",US-WI
26012,KCN,Chernofski Harbor Seaplane Base,"-167.52027154, 53.4028993416",US-AK
26015,CNH,Claremont Municipal Airport,"-72.36869812009999, 43.3703994751",US-NH
26016,CNK,Blosser Municipal Airport,"-97.6522979736, 39.549301147499996",US-KS
26017,CNM,Cavern City Air Terminal,"-104.26300048828125, 32.337501525878906",US-NM
26018,CNO,Chino Airport,"-117.637001, 33.97470093",US-CA
26020,CNU,Chanute Martin Johnson Airport,"-95.4850997925, 37.668800354",US-KS
26021,CNW,TSTC Waco Airport,"-97.0740966797, 31.637800216699997",US-TX
26022,CNY,Canyonlands Field,"-109.7549973, 38.75500107",US-UT
26023,COD,Yellowstone Regional Airport,"-109.024002075, 44.520198822",US-WY
26024,COE,Coeur D'Alene - Pappy Boyington Field,"-116.8199997, 47.77429962",US-ID
26025,COF,Patrick Air Force Base,"-80.6100997925, 28.2348995209",US-FL
26026,COI,Merritt Island Airport,"-80.6855010986, 28.341600418099997",US-FL
26027,COM,Coleman Municipal Airport,"-99.4036026001, 31.841100692699996",US-TX
26028,CON,Concord Municipal Airport,"-71.50229645, 43.20270157",US-NH
26030,COS,City of Colorado Springs Municipal Airport,"-104.70099639893, 38.805801391602",US-CO
26031,COT,Cotulla-La Salle County Airport,"-99.22029877, 28.45669937",US-TX
26032,COU,Columbia Regional Airport,"-92.21959686279297, 38.81809997558594",US-MO
26035,CPM,Compton Woodley Airport,"-118.244003296, 33.8899993896",US-CA
26036,CPR,Casper-Natrona County International Airport,"-106.4639969, 42.90800095",US-WY
26037,CPS,St Louis Downtown Airport,"-90.1561965942, 38.570701599100005",US-IL
26043,HCW,Cheraw Municipal Airport/Lynch Bellinger Field,"-79.95700073, 34.71289825",US-SC
26045,KCR,Colorado Creek Airport,"-155.988998413, 63.5676994324",US-AK
26046,CRE,Grand Strand Airport,"-78.72389984130001, 33.8116989136",US-SC
26047,CRG,Jacksonville Executive at Craig Airport,"-81.51439666750001, 30.3362998962",US-FL
26048,CRO,Corcoran Airport,"-119.595001, 36.102502",US-CA
26049,CRP,Corpus Christi International Airport,"-97.5011978149414, 27.77039909362793",US-TX
26050,CLD,Mc Clellan-Palomar Airport,"-117.2799988, 33.12829971",US-CA
26051,CRS,C David Campbell Field Corsicana Municipal Airport,"-96.4005966187, 32.0280990601",US-TX
26052,CRT,Z M Jack Stell Field,"-91.8802032471, 33.1782989502",US-AR
26053,CRW,Yeager Airport,"-81.59320068359375, 38.37310028076172",US-WV
26054,CRX,Roscoe Turner Airport,"-88.6035003662, 34.9150009155",US-MS
26057,CSG,Columbus Metropolitan Airport,"-84.93890380859375, 32.516300201416016",US-GA
26058,CSM,Clinton Sherman Airport,"-99.20050048830001, 35.3398017883",US-OK
26059,CSQ,Creston Municipal Airport,"-94.36329650879999, 41.021400451699996",US-IA
26060,CSV,Crossville Memorial Whitson Field,"-85.08499908450001, 35.9513015747",US-TN
26061,CTB,Cut Bank International Airport,"-112.375999451, 48.6083984375",US-MT
26064,CTY,Cross City Airport,"-83.10479736330001, 29.6354999542",US-FL
26065,CTZ,Sampson County Airport,"-78.3646011353, 34.9756011963",US-NC
26066,CUB,Jim Hamilton L.B. Owens Airport,"-80.9952011108, 33.970500946",US-SC
26067,CUH,Cushing Municipal Airport,"-96.7731018066, 35.9499015808",US-OK
26071,CVG,Cincinnati Northern Kentucky International Airport,"-84.6678009033, 39.0488014221",US-KY
26072,CKK,Sharp County Regional Airport,"-91.56259918, 36.26490021",US-AR
26073,CVN,Clovis Municipal Airport,"-103.07900238, 34.4250984192",US-NM
26074,CVO,Corvallis Municipal Airport,"-123.2900009, 44.49720001",US-OR
26075,CVS,Cannon Air Force Base,"-103.321998596, 34.3828010559",US-NM
26077,CWA,Central Wisconsin Airport,"-89.6668014526, 44.7775993347",US-WI
26078,KIP,Kickapoo Downtown Airport,"-98.49040222, 33.85779953",US-TX
26079,CWF,Chennault International Airport,"-93.14320373540001, 30.2105998993",US-LA
26080,CWI,Clinton Municipal Airport,"-90.3291015625, 41.8311004639",US-IA
26085,CXL,Calexico International Airport,"-115.513000488, 32.6694984436",US-CA
26086,CXO,Conroe-North Houston Regional Airport,"-95.414497, 30.351801",US-TX
26087,CSN,Carson Airport,"-119.73400116, 39.192199707",US-NV
26090,HAR,Capital City Airport,"-76.85150146480001, 40.2170982361",US-PA
26092,CYS,Cheyenne Regional Jerry Olson Field,"-104.8119965, 41.15570068",US-WY
26098,CZT,Dimmit County Airport,"-99.823600769, 28.522199630699998",US-TX
26118,VEX,Tioga Municipal Airport,"-102.8980026, 48.38050079",US-ND
26127,DAA,Davison Army Air Field,"-77.1809997559, 38.715000152600005",US-VA
26128,DAB,Daytona Beach International Airport,"-81.058098, 29.179899",US-FL
26130,DAG,Barstow Daggett Airport,"-116.7870026, 34.85369873",US-CA
26131,DAL,Dallas Love Field,"-96.851799, 32.847099",US-TX
26132,DAN,Danville Regional Airport,"-79.33609771728516, 36.572898864746094",US-VA
26134,DAY,James M Cox Dayton International Airport,"-84.21939849853516, 39.902400970458984",US-OH
26135,DBN,W H 'Bud' Barron Airport,"-82.98529816, 32.56439972",US-GA
26136,DBQ,Dubuque Regional Airport,"-90.70950317, 42.40200043",US-IA
26137,DCA,Ronald Reagan Washington National Airport,"-77.037697, 38.8521",US-DC
26139,DCU,Pryor Field Regional Airport,"-86.94539642330001, 34.652698516799994",US-AL
26141,DDC,Dodge City Regional Airport,"-99.9655990600586, 37.76340103149414",US-KS
26143,DEC,Decatur Airport,"-88.8656997680664, 39.834598541259766",US-IL
26145,DEH,Decorah Municipal Airport,"-91.73940277, 43.27550125",US-IA
26146,DEN,Denver International Airport,"-104.672996521, 39.861698150635",US-CO
26148,DET,Coleman A. Young Municipal Airport,"-83.00990295, 42.40919876",US-MI
26150,DFI,Defiance Memorial Airport,"-84.4288024902, 41.3375015259",US-OH
26151,DFW,Dallas Fort Worth International Airport,"-97.03800201416016, 32.89680099487305",US-TX
26152,DGL,Douglas Municipal Airport,"-109.505996704, 31.3425998688",US-AZ
26153,DGW,Converse County Airport,"-105.3860016, 42.79719925",US-WY
26154,DHN,Dothan Regional Airport,"-85.44960021972656, 31.321300506591797",US-AL
26155,DHT,Dalhart Municipal Airport,"-102.54699707, 36.0225982666",US-TX
26157,DIK,Dickinson Theodore Roosevelt Regional Airport,"-102.802001953, 46.7974014282",US-ND
26159,DKK,Chautauqua County-Dunkirk Airport,"-79.27200317, 42.49330139",US-NY
26162,DLL,Dillon County Airport,"-79.368598938, 34.4491004944",US-SC
26163,DLF,Laughlin Air Force Base,"-100.777999878, 29.359500885",US-TX
26164,DLH,Duluth International Airport,"-92.19360351559999, 46.8420982361",US-MN
26166,DLN,Dillon Airport,"-112.553001404, 45.255401611299995",US-MT
26168,DLS,Columbia Gorge Regional the Dalles Municipal Airport,"-121.166999817, 45.6184997559",US-OR
26170,DMA,Davis Monthan Air Force Base,"-110.883003235, 32.1665000916",US-AZ
26171,DMN,Deming Municipal Airport,"-107.721000671, 32.262298584",US-NM
26172,DMO,Sedalia Memorial Airport,"-93.17590332030001, 38.70740127559999",US-MO
26174,DNL,Daniel Field,"-82.0393981934, 33.4664993286",US-GA
26175,DNN,Dalton Municipal Airport,"-84.87020111, 34.72290039",US-GA
26176,DNS,Denison Municipal Airport,"-95.38069916, 41.9864006",US-IA
26177,DNV,Vermilion Regional Airport,"-87.59590149, 40.19919968",US-IL
26178,DOV,Dover Air Force Base,"-75.46600342, 39.12950134",US-DE
26180,DPA,Dupage Airport,"-88.24859619, 41.90779877",US-IL
26181,DPG,Michael AAF (Dugway Proving Ground) Airport,"-112.9369965, 40.19940186",US-UT
26185,DRA,Desert Rock Airport,"-116.032997, 36.6194",US-NV
26186,DRI,Beauregard Regional Airport,"-93.33989715579999, 30.8316993713",US-LA
26187,DRE,Drummond Island Airport,"-83.74389648440001, 46.0093002319",US-MI
26188,DRO,Durango La Plata County Airport,"-107.753997803, 37.1515007019",US-CO
26190,DRT,Del Rio International Airport,"-100.927001953, 29.3742008209",US-TX
26192,DSM,Des Moines International Airport,"-93.66310119628906, 41.534000396728516",US-IA
26193,DSV,Dansville Municipal Airport,"-77.7130966187, 42.570899963399995",US-NY
26194,DTA,Delta Municipal Airport,"-112.508003235, 39.3805999756",US-UT
26195,DTL,Detroit Lakes Airport - Wething Field,"-95.88569641, 46.82519913",US-MN
26196,DTN,Shreveport Downtown Airport,"-93.7450027466, 32.5401992798",US-LA
26198,DSI,Destin Executive Airport,"-86.47149658, 30.40010071",US-FL
26199,DTW,Detroit Metropolitan Wayne County Airport,"-83.35340118408203, 42.212398529052734",US-MI
26200,DUA,Eaker Field,"-96.39450073, 33.94229889",US-OK
26201,DUC,Halliburton Field,"-97.9598999, 34.47090149",US-OK
26202,DUG,Bisbee Douglas International Airport,"-109.603996277, 31.4689998627",US-AZ
26204,DUJ,DuBois Regional Airport,"-78.8986969, 41.17829895",US-PA
26207,DVL,Devils Lake Regional Airport,"-98.90879822, 48.11420059",US-ND
26208,DVN,Davenport Municipal Airport,"-90.58830261, 41.61029816",US-IA
26209,NOT,Marin County Airport - Gnoss Field,"-122.55599975586, 38.143600463867",US-CA
26210,NSL,Slayton Municipal Airport,"-95.782600402832, 43.986801147461",US-MN
26211,DVT,Phoenix Deer Valley Airport,"-112.083000183, 33.6883010864",US-AZ
26214,DWF,Wright Field,"-84.10444444439999, 39.78",US-OH
26215,DWH,David Wayne Hooks Memorial Airport,"-95.55280303960001, 30.0618000031",US-TX
26218,DXR,Danbury Municipal Airport,"-73.48220062259999, 41.371498107899995",US-CT
26222,DYL,Doylestown Airport,"-75.1222991943, 40.3330001831",US-PA
26224,DYS,Dyess Air Force Base,"-99.854598999, 32.4207992554",US-TX
26537,MIF,Roy Hurd Memorial Airport,"-102.90899658203, 31.582500457764",US-TX
26541,CCG,Crane County Airport,"-102.362998962, 31.415100097699998",US-TX
26542,ESO,Ohkay Owingeh Airport,"-106.04599762, 36.0299987793",US-NM
26545,WTR,Whiteriver Airport,"-109.9869995, 33.8125",US-AZ
26551,ALE,Alpine Casparis Municipal Airport,"-103.683998108, 30.384199142499998",US-TX
26556,BGT,Bagdad Airport,"-113.169998169, 34.5959014893",US-AZ
26570,EAN,Phifer Airfield,"-104.929001, 42.0555",US-WY
26571,EAR,Kearney Regional Airport,"-99.00679779, 40.72700119",US-NE
26572,EAT,Pangborn Memorial Airport,"-120.207000732, 47.3988990784",US-WA
26573,EAU,Chippewa Valley Regional Airport,"-91.48429870605469, 44.86579895019531",US-WI
26574,KEB,Nanwalek Airport,"-151.925003052, 59.3521003723",US-AK
26577,EBS,Webster City Municipal Airport,"-93.86889648, 42.43659973",US-IA
26579,ECG,Elizabeth City Regional Airport & Coast Guard Air Station,"-76.17459869, 36.26060104",US-NC
26580,ECP,Northwest Florida Beaches International Airport,"-85.795414, 30.357106",US-FL
26581,ECS,Mondell Field,"-104.318001, 43.885399",US-WY
26584,EDE,Northeastern Regional Airport,"-76.56710052490001, 36.027698516799994",US-NC
26587,ETS,Enterprise Municipal Airport,"-85.89990234, 31.29969978",US-AL
26589,EDW,Edwards Air Force Base,"-117.884003, 34.905399",US-CA
26590,EED,Needles Airport,"-114.623001099, 34.7663002014",US-CA
26591,EEN,Dillant Hopkins Airport,"-72.27079772949219, 42.898399353027344",US-NH
26595,EFD,Ellington Airport,"-95.1587982178, 29.607299804700002",US-TX
26596,EFK,Newport State Airport,"-72.2292022705, 44.8888015747",US-VT
26598,EFW,Jefferson Municipal Airport,"-94.34259796, 42.0102005",US-IA
26600,EGE,Eagle County Regional Airport,"-106.9179993, 39.64260101",US-CO
26601,EGI,Duke Field,"-86.52290344, 30.65040016",US-FL
26604,EGV,Eagle River Union Airport,"-89.26830291750001, 45.932300567599995",US-WI
26611,KEK,Ekwok Airport,"-157.4709930419922, 59.3568000793457",US-AK
26612,EKA,Murray Field,"-124.112998962, 40.803398132299996",US-CA
26613,EKI,Elkhart Municipal Airport,"-86.00319671630001, 41.7193984985",US-IN
26614,EKN,Elkins-Randolph Co-Jennings Randolph Field,"-79.85710144, 38.88940048",US-WV
26615,EKO,Elko Regional Airport,"-115.79199981689453, 40.82490158081055",US-NV
26618,EKX,Addington Field,"-85.9250030518, 37.686000824",US-KY
26620,ELA,Eagle Lake Airport,"-96.3218994141, 29.600599288900003",US-TX
26621,ELD,South Arkansas Regional At Goodwin Field,"-92.81330108642578, 33.22100067138672",US-AR
26622,ELK,Elk City Regional Business Airport,"-99.39430237, 35.43080139",US-OK
26623,ELM,Elmira Corning Regional Airport,"-76.8916015625, 42.1599006652832",US-NY
26624,ELN,Bowers Field,"-120.5309982, 47.03300095",US-WA
26625,LYU,Ely Municipal Airport,"-91.83070374, 47.82450104",US-MN
26626,ELP,El Paso International Airport,"-106.3779984, 31.80719948",US-TX
26627,ELY,Ely Airport Yelland Field,"-114.8420029, 39.29970169",US-NV
26628,ELZ,"Wellsville Municipal Arpt,Tarantine Field","-77.98999786, 42.10950089",US-NY
26629,EMM,Kemmerer Municipal Airport,"-110.556999207, 41.82410049439999",US-WY
26630,EMP,Emporia Municipal Airport,"-96.19120025630001, 38.3320999146",US-KS
26631,EMT,El Monte Airport,"-118.035003662, 34.086101532",US-CA
26633,END,Vance Air Force Base,"-97.9164962769, 36.339199066199996",US-OK
26634,ENL,Centralia Municipal Airport,"-89.0911026001, 38.515098571799996",US-IL
26635,ENV,Wendover Airport,"-114.03099823, 40.7187004089",US-UT
26636,ENW,Kenosha Regional Airport,"-87.92780304, 42.59569931",US-WI
26638,EOK,Keokuk Municipal Airport,"-91.4284973145, 40.459899902299995",US-IA
26641,EPH,Ephrata Municipal Airport,"-119.5159988, 47.30759811",US-WA
26643,EDK,Captain Jack Thomas El Dorado Airport,"-96.81759643550001, 37.7741012573",US-KS
26645,ERI,Erie International Tom Ridge Field,"-80.1738667488, 42.0831270134",US-PA
26646,ERR,Errol Airport,"-71.1641998291, 44.7924995422",US-NH
26647,ERV,Kerrville Municipal Louis Schreiner Field,"-99.08570098879999, 29.9766998291",US-TX
26649,ESC,Delta County Airport,"-87.0936965942, 45.7226982117",US-MI
26650,ESF,Esler Regional Airport,"-92.2957992554, 31.3948993683",US-LA
26651,ESN,Easton Newnam Field,"-76.06900024410001, 38.8041992188",US-MD
26652,EST,Estherville Municipal Airport,"-94.74639893, 43.40739822",US-IA
26653,ESW,Easton State Airport,"-121.185997009, 47.2541999817",US-WA
26654,ETB,West Bend Municipal Airport,"-88.1278991699, 43.4221992493",US-WI
26657,ETN,Eastland Municipal Airport,"-98.80979919430001, 32.4135017395",US-TX
26658,EUF,Weedon Field,"-85.1288986206, 31.9512996674",US-AL
26659,EUG,Mahlon Sweet Field,"-123.21199798583984, 44.12459945678711",US-OR
26662,EVM,Eveleth Virginia Municipal Airport,"-92.49849701, 47.42509842",US-MN
26664,EVV,Evansville Regional Airport,"-87.5324020386, 38.0369987488",US-IN
26665,EVW,Evanston-Uinta County Airport-Burns Field,"-111.0350037, 41.27479935",US-WY
26667,EWB,New Bedford Regional Airport,"-70.95690155029297, 41.67610168457031",US-MA
26668,EWK,Newton City-County Airport,"-97.2744979858, 38.058200836199994",US-KS
26669,EWN,Coastal Carolina Regional Airport,"-77.04290008539999, 35.0730018616",US-NC
26670,EWR,Newark Liberty International Airport,"-74.168701171875, 40.692501068115234",US-NJ
26676,EYW,Key West International Airport,"-81.75959777832031, 24.556100845336914",US-FL
26686,WIB,Wilbarger County Airport,"-99.2837982178, 34.2257003784",US-TX
26717,RBK,French Valley Airport,"-117.127998352, 33.5741996765",US-CA
26731,FAF,Felker Army Air Field,"-76.60880279540001, 37.132499694799996",US-VA
26732,FAM,Farmington Regional Airport,"-90.4285965, 37.76110077",US-MO
26733,FAR,Hector International Airport,"-96.81580352783203, 46.92070007324219",US-ND
26734,FAT,Fresno Yosemite International Airport,"-119.71800231933594, 36.77619934082031",US-CA
26735,FAY,Fayetteville Regional Grannis Field,"-78.88030242919922, 34.9911994934082",US-NC
26736,FBG,Simmons Army Air Field,"-78.93669891, 35.13180161",US-NC
26737,FBL,Faribault Municipal Airport,"-93.310798645, 44.3246994019",US-MN
26738,FBR,Fort Bridger Airport,"-110.406997681, 41.3918991089",US-WY
26739,FBY,Fairbury Municipal Airport,"-97.16929626459999, 40.182998657199995",US-NE
26740,FCH,Fresno Chandler Executive Airport,"-119.8199997, 36.73239899",US-CA
26742,FCM,Flying Cloud Airport,"-93.45709991460001, 44.8272018433",US-MN
26743,FCS,Butts AAF (Fort Carson) Air Field,"-104.7570038, 38.67839813",US-CO
26744,FCT,Vagabond Army Heliport,"-120.45400238, 46.66650009159999",US-WA
